Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/database/raw/certfr_dump_root

===== YEAR 2000 (CERTA, 3 digits) =====
[=] CERTA-2002-AVI-022 (no change) | 0 CVE
[=] CERTA-2002-AVI-023 (no change) | 0 CVE
[=] CERTA-2002-AVI-024 (no change) | 0 CVE
[=] CERTA-2002-AVI-025 (no change) | 0 CVE
[=] CERTA-2002-AVI-026 (no change) | 0 CVE
[=] CERTA-2002-AVI-027 (no change) | 0 CVE
[=] CERTA-2002-AVI-028 (no change) | 0 CVE
[=] CERTA-2002-AVI-029 (no change) | 0 CVE
[=] CERTA-2002-AVI-030 (no change) | 0 CVE
[=] CERTA-2002-AVI-031 (no change) | 0 CVE
[=] CERTA-2002-AVI-032 (no change) | 0 CVE
[=] CERTA-2002-AVI-033 (no change) | 0 CVE
[=] CERTA-2002-AVI-034 (no change) | 0 CVE
[=] CERTA-2002-AVI-035 (no change) | 0 CVE
[=] CERTA-2002-AVI-036 (no change) | 0 CVE
[=] CERTA-2002-AVI-037 (no change) | 0 CVE
[=] CERTA-2002-AVI-038 (no change) | 0 CVE
[=] CERTA-2002-AVI-039 (no change) | 0 CVE
[=] CERTA-2002-AVI-040 (no change) | 0 CVE
[=] CERTA-2002-AVI-041 (no change) | 0 CVE
[=] CERTA-2002-AVI-042 (no change) | 0 CVE
[=] CERTA-2002-AVI-043 (no change) | 0 CVE
[=] CERTA-2002-AVI-044 (no change) | 0 CVE
[=] CERTA-2002-AVI-045 (no change) | 0 CVE
[=] CERTA-2002-AVI-046 (no change) | 0 CVE
[=] CERTA-2002-AVI-047 (no change) | 0 CVE
[=] CERTA-2002-AVI-048 (no change) | 0 CVE
[=] CERTA-2002-AVI-049 (no change) | 0 CVE
[=] CERTA-2002-AVI-050 (no change) | 0 CVE
[=] CERTA-2002-AVI-051 (no change) | 0 CVE
[=] CERTA-2002-AVI-052 (no change) | 0 CVE
[=] CERTA-2002-AVI-053 (no change) | 0 CVE
[=] CERTA-2002-AVI-054 (no change) | 0 CVE
[=] CERTA-2002-AVI-055 (no change) | 0 CVE
[=] CERTA-2002-AVI-056 (no change) | 0 CVE
[=] CERTA-2002-AVI-057 (no change) | 0 CVE
[=] CERTA-2002-AVI-058 (no change) | 0 CVE
[=] CERTA-2002-AVI-059 (no change) | 0 CVE
[=] CERTA-2002-AVI-060 (no change) | 0 CVE
[=] CERTA-2002-AVI-061 (no change) | 0 CVE
[=] CERTA-2002-AVI-062 (no change) | 0 CVE
[=] CERTA-2002-AVI-063 (no change) | 0 CVE
[=] CERTA-2002-AVI-064 (no change) | 0 CVE
[=] CERTA-2002-AVI-065 (no change) | 0 CVE
[=] CERTA-2002-AVI-066 (no change) | 0 CVE
[=] CERTA-2002-AVI-067 (no change) | 0 CVE
[=] CERTA-2002-AVI-068 (no change) | 0 CVE
[=] CERTA-2002-AVI-069 (no change) | 0 CVE
[=] CERTA-2002-AVI-070 (no change) | 0 CVE
[=] CERTA-2002-AVI-071 (no change) | 0 CVE
[=] CERTA-2002-AVI-072 (no change) | 0 CVE
[=] CERTA-2002-AVI-073 (no change) | 0 CVE
[=] CERTA-2002-AVI-074 (no change) | 0 CVE
[=] CERTA-2002-AVI-075 (no change) | 0 CVE
[=] CERTA-2002-AVI-076 (no change) | 0 CVE
[=] CERTA-2002-AVI-077 (no change) | 0 CVE
[=] CERTA-2002-AVI-078 (no change) | 0 CVE
[=] CERTA-2002-AVI-079 (no change) | 0 CVE
[=] CERTA-2002-AVI-080 (no change) | 0 CVE
[=] CERTA-2002-AVI-081 (no change) | 0 CVE
[=] CERTA-2002-AVI-082 (no change) | 0 CVE
[=] CERTA-2002-AVI-083 (no change) | 0 CVE
[=] CERTA-2002-AVI-084 (no change) | 0 CVE
[=] CERTA-2002-AVI-085 (no change) | 0 CVE
[=] CERTA-2002-AVI-086 (no change) | 0 CVE
[=] CERTA-2002-AVI-087 (no change) | 0 CVE
[=] CERTA-2002-AVI-088 (no change) | 0 CVE
[=] CERTA-2002-AVI-089 (no change) | 0 CVE
[=] CERTA-2002-AVI-090 (no change) | 0 CVE
[=] CERTA-2002-AVI-091 (no change) | 0 CVE
[=] CERTA-2002-AVI-092 (no change) | 0 CVE
[=] CERTA-2002-AVI-093 (no change) | 0 CVE
[=] CERTA-2002-AVI-094 (no change) | 0 CVE
[=] CERTA-2002-AVI-095 (no change) | 0 CVE
[=] CERTA-2002-AVI-096 (no change) | 0 CVE
[=] CERTA-2002-AVI-097 (no change) | 0 CVE
[=] CERTA-2002-AVI-098 (no change) | 0 CVE
[=] CERTA-2002-AVI-099 (no change) | 0 CVE
[=] CERTA-2002-AVI-100 (no change) | 0 CVE
[=] CERTA-2002-AVI-101 (no change) | 0 CVE
[=] CERTA-2002-AVI-102 (no change) | 0 CVE
[=] CERTA-2002-AVI-103 (no change) | 0 CVE
[=] CERTA-2002-AVI-104 (no change) | 0 CVE
[=] CERTA-2002-AVI-105 (no change) | 0 CVE
[=] CERTA-2002-AVI-106 (no change) | 0 CVE
[=] CERTA-2002-AVI-107 (no change) | 0 CVE
[=] CERTA-2002-AVI-108 (no change) | 0 CVE
[=] CERTA-2002-AVI-109 (no change) | 0 CVE
[=] CERTA-2002-AVI-110 (no change) | 0 CVE
[=] CERTA-2002-AVI-111 (no change) | 0 CVE
[=] CERTA-2002-AVI-112 (no change) | 0 CVE
[=] CERTA-2002-AVI-113 (no change) | 0 CVE
[=] CERTA-2002-AVI-114 (no change) | 0 CVE
[=] CERTA-2002-AVI-115 (no change) | 0 CVE
[=] CERTA-2002-AVI-116 (no change) | 0 CVE
[=] CERTA-2002-AVI-117 (no change) | 0 CVE
[=] CERTA-2002-AVI-118 (no change) | 0 CVE
[=] CERTA-2002-AVI-119 (no change) | 0 CVE
[=] CERTA-2002-AVI-120 (no change) | 0 CVE
[=] CERTA-2002-AVI-121 (no change) | 0 CVE
[=] CERTA-2002-AVI-122 (no change) | 0 CVE
[=] CERTA-2002-AVI-123 (no change) | 0 CVE
[=] CERTA-2002-AVI-124 (no change) | 0 CVE
[=] CERTA-2002-AVI-125 (no change) | 0 CVE
[=] CERTA-2002-AVI-126 (no change) | 0 CVE
[=] CERTA-2002-AVI-127 (no change) | 0 CVE
[=] CERTA-2002-AVI-128 (no change) | 0 CVE
[=] CERTA-2002-AVI-129 (no change) | 0 CVE
[=] CERTA-2002-AVI-130 (no change) | 0 CVE
[=] CERTA-2002-AVI-131 (no change) | 0 CVE
[=] CERTA-2002-AVI-132 (no change) | 0 CVE
[=] CERTA-2002-AVI-133 (no change) | 0 CVE
[=] CERTA-2002-AVI-134 (no change) | 0 CVE
[=] CERTA-2002-AVI-135 (no change) | 0 CVE
[=] CERTA-2002-AVI-136 (no change) | 0 CVE
[=] CERTA-2002-AVI-137 (no change) | 0 CVE
[=] CERTA-2002-AVI-138 (no change) | 0 CVE
[=] CERTA-2002-AVI-139 (no change) | 0 CVE
[=] CERTA-2002-AVI-140 (no change) | 0 CVE
[=] CERTA-2002-AVI-141 (no change) | 0 CVE
[=] CERTA-2002-AVI-142 (no change) | 0 CVE
[=] CERTA-2002-AVI-143 (no change) | 0 CVE
[=] CERTA-2002-AVI-144 (no change) | 0 CVE
[=] CERTA-2002-AVI-145 (no change) | 0 CVE
[=] CERTA-2002-AVI-146 (no change) | 0 CVE
[=] CERTA-2002-AVI-147 (no change) | 0 CVE
[=] CERTA-2002-AVI-148 (no change) | 0 CVE
[=] CERTA-2002-AVI-149 (no change) | 0 CVE
[=] CERTA-2002-AVI-150 (no change) | 0 CVE
[=] CERTA-2002-AVI-151 (no change) | 0 CVE
[=] CERTA-2002-AVI-152 (no change) | 0 CVE
[=] CERTA-2002-AVI-153 (no change) | 0 CVE
[=] CERTA-2002-AVI-154 (no change) | 0 CVE
[=] CERTA-2002-AVI-155 (no change) | 0 CVE
[=] CERTA-2002-AVI-156 (no change) | 0 CVE
[=] CERTA-2002-AVI-157 (no change) | 0 CVE
[=] CERTA-2002-AVI-158 (no change) | 0 CVE
[=] CERTA-2002-AVI-159 (no change) | 0 CVE
[=] CERTA-2002-AVI-160 (no change) | 0 CVE
[=] CERTA-2002-AVI-161 (no change) | 0 CVE
[=] CERTA-2002-AVI-162 (no change) | 0 CVE
[=] CERTA-2002-AVI-163 (no change) | 0 CVE
[=] CERTA-2002-AVI-164 (no change) | 0 CVE
[=] CERTA-2002-AVI-165 (no change) | 0 CVE
[=] CERTA-2002-AVI-166 (no change) | 0 CVE
[=] CERTA-2002-AVI-167 (no change) | 0 CVE
[=] CERTA-2002-AVI-168 (no change) | 0 CVE
[=] CERTA-2002-AVI-169 (no change) | 0 CVE
[=] CERTA-2002-AVI-170 (no change) | 0 CVE
[=] CERTA-2002-AVI-171 (no change) | 0 CVE
[=] CERTA-2002-AVI-172 (no change) | 0 CVE
[=] CERTA-2002-AVI-173 (no change) | 0 CVE
[=] CERTA-2002-AVI-174 (no change) | 0 CVE
[=] CERTA-2002-AVI-175 (no change) | 0 CVE
[=] CERTA-2002-AVI-176 (no change) | 0 CVE
[=] CERTA-2002-AVI-177 (no change) | 0 CVE
[=] CERTA-2002-AVI-178 (no change) | 0 CVE
[=] CERTA-2002-AVI-179 (no change) | 0 CVE
[=] CERTA-2002-AVI-180 (no change) | 0 CVE
[=] CERTA-2002-AVI-181 (no change) | 0 CVE
[=] CERTA-2002-AVI-182 (no change) | 0 CVE
[=] CERTA-2002-AVI-183 (no change) | 0 CVE
[=] CERTA-2002-AVI-185 (no change) | 0 CVE
[=] CERTA-2002-AVI-186 (no change) | 0 CVE
[=] CERTA-2002-AVI-187 (no change) | 0 CVE
[=] CERTA-2002-AVI-188 (no change) | 0 CVE
[=] CERTA-2002-AVI-189 (no change) | 0 CVE
[=] CERTA-2002-AVI-190 (no change) | 0 CVE
[=] CERTA-2002-AVI-191 (no change) | 0 CVE
[=] CERTA-2002-AVI-192 (no change) | 0 CVE
[=] CERTA-2002-AVI-193 (no change) | 0 CVE
[=] CERTA-2002-AVI-194 (no change) | 0 CVE
[=] CERTA-2002-AVI-195 (no change) | 0 CVE
[=] CERTA-2002-AVI-196 (no change) | 0 CVE
[=] CERTA-2002-AVI-197 (no change) | 0 CVE
[=] CERTA-2002-AVI-198 (no change) | 0 CVE
[=] CERTA-2002-AVI-199 (no change) | 0 CVE
[=] CERTA-2002-AVI-200 (no change) | 0 CVE
[=] CERTA-2002-AVI-201 (no change) | 0 CVE
[=] CERTA-2002-AVI-202 (no change) | 0 CVE
[=] CERTA-2002-AVI-203 (no change) | 0 CVE
[=] CERTA-2002-AVI-204 (no change) | 0 CVE
[=] CERTA-2002-AVI-205 (no change) | 0 CVE
[=] CERTA-2002-AVI-206 (no change) | 0 CVE
[=] CERTA-2002-AVI-207 (no change) | 0 CVE
