Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/certfr_dump

===== YEAR 2000 (CERTA, 3 digits) =====
[+] CERTA-2002-AVI-030 | 0 CVE
[+] CERTA-2002-AVI-031 | 0 CVE
[+] CERTA-2002-AVI-032 | 0 CVE
[+] CERTA-2002-AVI-033 | 0 CVE
[+] CERTA-2002-AVI-034 | 0 CVE
[+] CERTA-2002-AVI-035 | 0 CVE
[+] CERTA-2002-AVI-036 | 0 CVE
[+] CERTA-2002-AVI-037 | 0 CVE
[+] CERTA-2002-AVI-038 | 0 CVE
[+] CERTA-2002-AVI-039 | 0 CVE
[+] CERTA-2002-AVI-040 | 0 CVE
[+] CERTA-2002-AVI-041 | 0 CVE
[+] CERTA-2002-AVI-042 | 0 CVE
[+] CERTA-2002-AVI-043 | 0 CVE
[+] CERTA-2002-AVI-044 | 0 CVE
[+] CERTA-2002-AVI-045 | 0 CVE
[+] CERTA-2002-AVI-046 | 0 CVE
[+] CERTA-2002-AVI-047 | 0 CVE
[+] CERTA-2002-AVI-048 | 0 CVE
[+] CERTA-2002-AVI-049 | 0 CVE
[+] CERTA-2002-AVI-050 | 0 CVE
[+] CERTA-2002-AVI-051 | 0 CVE
[+] CERTA-2002-AVI-052 | 0 CVE
[+] CERTA-2002-AVI-053 | 0 CVE
[+] CERTA-2002-AVI-054 | 0 CVE
[+] CERTA-2002-AVI-055 | 0 CVE
[+] CERTA-2002-AVI-056 | 0 CVE
[+] CERTA-2002-AVI-057 | 0 CVE
[+] CERTA-2002-AVI-058 | 0 CVE
[+] CERTA-2002-AVI-059 | 0 CVE
[+] CERTA-2002-AVI-060 | 0 CVE
[+] CERTA-2002-AVI-061 | 0 CVE
[+] CERTA-2002-AVI-062 | 0 CVE
[+] CERTA-2002-AVI-063 | 0 CVE
[+] CERTA-2002-AVI-064 | 0 CVE
[+] CERTA-2002-AVI-065 | 0 CVE
[+] CERTA-2002-AVI-066 | 0 CVE
[+] CERTA-2002-AVI-067 | 0 CVE
[+] CERTA-2002-AVI-068 | 0 CVE
[+] CERTA-2002-AVI-069 | 0 CVE
[+] CERTA-2002-AVI-070 | 0 CVE
[+] CERTA-2002-AVI-071 | 0 CVE
[+] CERTA-2002-AVI-072 | 0 CVE
[+] CERTA-2002-AVI-073 | 0 CVE
[+] CERTA-2002-AVI-074 | 0 CVE
[+] CERTA-2002-AVI-075 | 0 CVE
[+] CERTA-2002-AVI-076 | 0 CVE
[+] CERTA-2002-AVI-077 | 0 CVE
[+] CERTA-2002-AVI-078 | 0 CVE
[+] CERTA-2002-AVI-079 | 0 CVE
[+] CERTA-2002-AVI-080 | 0 CVE
[+] CERTA-2002-AVI-081 | 0 CVE
[+] CERTA-2002-AVI-082 | 0 CVE
[+] CERTA-2002-AVI-083 | 0 CVE
[+] CERTA-2002-AVI-084 | 0 CVE
[+] CERTA-2002-AVI-085 | 0 CVE
[+] CERTA-2002-AVI-086 | 0 CVE
[+] CERTA-2002-AVI-087 | 0 CVE
[+] CERTA-2002-AVI-088 | 0 CVE
[+] CERTA-2002-AVI-089 | 0 CVE
[+] CERTA-2002-AVI-090 | 0 CVE
[+] CERTA-2002-AVI-091 | 0 CVE
[+] CERTA-2002-AVI-092 | 0 CVE
[+] CERTA-2002-AVI-093 | 0 CVE
[+] CERTA-2002-AVI-094 | 0 CVE
[+] CERTA-2002-AVI-095 | 0 CVE
[+] CERTA-2002-AVI-096 | 0 CVE
[+] CERTA-2002-AVI-097 | 0 CVE
[+] CERTA-2002-AVI-098 | 0 CVE
[+] CERTA-2002-AVI-099 | 0 CVE
[+] CERTA-2002-AVI-100 | 0 CVE
[+] CERTA-2002-AVI-101 | 0 CVE
[+] CERTA-2002-AVI-102 | 0 CVE
[+] CERTA-2002-AVI-103 | 0 CVE
[+] CERTA-2002-AVI-104 | 0 CVE
[+] CERTA-2002-AVI-105 | 0 CVE
[+] CERTA-2002-AVI-106 | 0 CVE
[+] CERTA-2002-AVI-107 | 0 CVE
[+] CERTA-2002-AVI-108 | 0 CVE
[+] CERTA-2002-AVI-109 | 0 CVE
[+] CERTA-2002-AVI-110 | 0 CVE
[+] CERTA-2002-AVI-111 | 0 CVE
[+] CERTA-2002-AVI-112 | 0 CVE
[+] CERTA-2002-AVI-113 | 0 CVE
[+] CERTA-2002-AVI-114 | 0 CVE
[+] CERTA-2002-AVI-115 | 0 CVE
[+] CERTA-2002-AVI-116 | 0 CVE
[+] CERTA-2002-AVI-117 | 0 CVE
[+] CERTA-2002-AVI-118 | 0 CVE
[+] CERTA-2002-AVI-119 | 0 CVE
[+] CERTA-2002-AVI-120 | 0 CVE
[+] CERTA-2002-AVI-121 | 0 CVE
[+] CERTA-2002-AVI-122 | 0 CVE
[+] CERTA-2002-AVI-123 | 0 CVE
[+] CERTA-2002-AVI-124 | 0 CVE
[+] CERTA-2002-AVI-125 | 0 CVE
[+] CERTA-2002-AVI-126 | 0 CVE
[+] CERTA-2002-AVI-127 | 0 CVE
[+] CERTA-2002-AVI-128 | 0 CVE
[+] CERTA-2002-AVI-129 | 0 CVE
[+] CERTA-2002-AVI-130 | 0 CVE
[+] CERTA-2002-AVI-131 | 0 CVE
[+] CERTA-2002-AVI-132 | 0 CVE
[+] CERTA-2002-AVI-133 | 0 CVE
[+] CERTA-2002-AVI-134 | 0 CVE
[+] CERTA-2002-AVI-135 | 0 CVE
[+] CERTA-2002-AVI-136 | 0 CVE
[+] CERTA-2002-AVI-137 | 0 CVE
[+] CERTA-2002-AVI-138 | 0 CVE
[+] CERTA-2002-AVI-139 | 0 CVE
[+] CERTA-2002-AVI-140 | 0 CVE
[+] CERTA-2002-AVI-141 | 0 CVE
[+] CERTA-2002-AVI-142 | 0 CVE
[+] CERTA-2002-AVI-143 | 0 CVE
[+] CERTA-2002-AVI-144 | 0 CVE
[+] CERTA-2002-AVI-145 | 0 CVE
[+] CERTA-2002-AVI-146 | 0 CVE
[+] CERTA-2002-AVI-147 | 0 CVE
[+] CERTA-2002-AVI-148 | 0 CVE
[+] CERTA-2002-AVI-149 | 0 CVE
[+] CERTA-2002-AVI-150 | 0 CVE
[+] CERTA-2002-AVI-151 | 0 CVE
[+] CERTA-2002-AVI-152 | 0 CVE
[+] CERTA-2002-AVI-153 | 0 CVE
[+] CERTA-2002-AVI-154 | 0 CVE
[+] CERTA-2002-AVI-155 | 0 CVE
[+] CERTA-2002-AVI-156 | 0 CVE
[+] CERTA-2002-AVI-157 | 0 CVE
[+] CERTA-2002-AVI-158 | 0 CVE
[+] CERTA-2002-AVI-159 | 0 CVE
[+] CERTA-2002-AVI-160 | 0 CVE
[+] CERTA-2002-AVI-161 | 0 CVE
[+] CERTA-2002-AVI-162 | 0 CVE
[+] CERTA-2002-AVI-163 | 0 CVE
[+] CERTA-2002-AVI-164 | 0 CVE
[+] CERTA-2002-AVI-165 | 0 CVE
[+] CERTA-2002-AVI-166 | 0 CVE
[+] CERTA-2002-AVI-167 | 0 CVE
[+] CERTA-2002-AVI-168 | 0 CVE
[+] CERTA-2002-AVI-169 | 0 CVE
[+] CERTA-2002-AVI-170 | 0 CVE
[+] CERTA-2002-AVI-171 | 0 CVE
[+] CERTA-2002-AVI-172 | 0 CVE
[+] CERTA-2002-AVI-173 | 0 CVE
[+] CERTA-2002-AVI-174 | 0 CVE
[+] CERTA-2002-AVI-175 | 0 CVE
[+] CERTA-2002-AVI-176 | 0 CVE
[+] CERTA-2002-AVI-177 | 0 CVE
[+] CERTA-2002-AVI-178 | 0 CVE
[+] CERTA-2002-AVI-179 | 0 CVE
[+] CERTA-2002-AVI-180 | 0 CVE
[+] CERTA-2002-AVI-181 | 0 CVE
[+] CERTA-2002-AVI-182 | 0 CVE
[+] CERTA-2002-AVI-183 | 0 CVE
[+] CERTA-2002-AVI-185 | 0 CVE
[+] CERTA-2002-AVI-186 | 0 CVE
[+] CERTA-2002-AVI-187 | 0 CVE
[+] CERTA-2002-AVI-188 | 0 CVE
[+] CERTA-2002-AVI-189 | 0 CVE
[+] CERTA-2002-AVI-190 | 0 CVE
[+] CERTA-2002-AVI-191 | 0 CVE
[+] CERTA-2002-AVI-192 | 0 CVE
[+] CERTA-2002-AVI-193 | 0 CVE
[+] CERTA-2002-AVI-194 | 0 CVE
[+] CERTA-2002-AVI-195 | 0 CVE
[+] CERTA-2002-AVI-196 | 0 CVE
[+] CERTA-2002-AVI-197 | 0 CVE
[+] CERTA-2002-AVI-198 | 0 CVE
[+] CERTA-2002-AVI-199 | 0 CVE
[+] CERTA-2002-AVI-200 | 0 CVE
[+] CERTA-2002-AVI-201 | 0 CVE
[+] CERTA-2002-AVI-202 | 0 CVE
[+] CERTA-2002-AVI-203 | 0 CVE
[+] CERTA-2002-AVI-204 | 0 CVE
[+] CERTA-2002-AVI-205 | 0 CVE
[+] CERTA-2002-AVI-206 | 0 CVE
[+] CERTA-2002-AVI-207 | 0 CVE
[+] CERTA-2002-AVI-208 | 0 CVE
[+] CERTA-2002-AVI-209 | 0 CVE
[+] CERTA-2002-AVI-210 | 0 CVE
[+] CERTA-2002-AVI-211 | 0 CVE
[+] CERTA-2002-AVI-212 | 0 CVE
[+] CERTA-2002-AVI-213 | 0 CVE
[+] CERTA-2002-AVI-214 | 0 CVE
[+] CERTA-2002-AVI-215 | 0 CVE
[+] CERTA-2002-AVI-216 | 0 CVE
[+] CERTA-2002-AVI-217 | 0 CVE
[+] CERTA-2002-AVI-218 | 0 CVE
[+] CERTA-2002-AVI-219 | 0 CVE
[+] CERTA-2002-AVI-220 | 0 CVE
[+] CERTA-2002-AVI-221 | 0 CVE
[+] CERTA-2002-AVI-222 | 0 CVE
[+] CERTA-2002-AVI-223 | 0 CVE
[+] CERTA-2002-AVI-224 | 0 CVE
[+] CERTA-2002-AVI-225 | 0 CVE
[+] CERTA-2002-AVI-226 | 0 CVE
[+] CERTA-2002-AVI-227 | 0 CVE
[+] CERTA-2002-AVI-228 | 0 CVE
[+] CERTA-2002-AVI-229 | 0 CVE
[+] CERTA-2002-AVI-230 | 0 CVE
[+] CERTA-2002-AVI-231 | 0 CVE
[+] CERTA-2002-AVI-232 | 0 CVE
[+] CERTA-2002-AVI-233 | 0 CVE
[+] CERTA-2002-AVI-234 | 0 CVE
[+] CERTA-2002-AVI-235 | 0 CVE
[+] CERTA-2002-AVI-236 | 0 CVE
[+] CERTA-2002-AVI-237 | 0 CVE
[+] CERTA-2002-AVI-238 | 0 CVE
[+] CERTA-2002-AVI-239 | 0 CVE
[+] CERTA-2002-AVI-240 | 0 CVE
[+] CERTA-2002-AVI-241 | 0 CVE
[+] CERTA-2002-AVI-242 | 0 CVE
[+] CERTA-2002-AVI-243 | 0 CVE
[+] CERTA-2002-AVI-244 | 0 CVE
[+] CERTA-2002-AVI-245 | 0 CVE
[+] CERTA-2002-AVI-246 | 0 CVE
[+] CERTA-2002-AVI-247 | 0 CVE
[+] CERTA-2002-AVI-248 | 0 CVE
[+] CERTA-2002-AVI-249 | 0 CVE
[+] CERTA-2002-AVI-250 | 0 CVE
[+] CERTA-2002-AVI-251 | 0 CVE
[+] CERTA-2002-AVI-252 | 0 CVE
[+] CERTA-2002-AVI-253 | 0 CVE
[+] CERTA-2002-AVI-254 | 0 CVE
[+] CERTA-2002-AVI-255 | 0 CVE
[+] CERTA-2002-AVI-256 | 0 CVE
[+] CERTA-2002-AVI-257 | 0 CVE
[+] CERTA-2002-AVI-258 | 0 CVE
[+] CERTA-2002-AVI-259 | 0 CVE
[+] CERTA-2002-AVI-260 | 0 CVE
[+] CERTA-2002-AVI-261 | 0 CVE
[+] CERTA-2002-AVI-262 | 0 CVE
[+] CERTA-2002-AVI-263 | 0 CVE
[+] CERTA-2002-AVI-264 | 0 CVE
[+] CERTA-2002-AVI-265 | 0 CVE
[+] CERTA-2002-AVI-266 | 0 CVE
[+] CERTA-2002-AVI-267 | 0 CVE
[+] CERTA-2002-AVI-268 | 0 CVE
[+] CERTA-2002-AVI-269 | 0 CVE
[+] CERTA-2002-AVI-270 | 0 CVE
[+] CERTA-2002-AVI-271 | 0 CVE
[+] CERTA-2002-AVI-272 | 0 CVE
[+] CERTA-2002-AVI-273 | 0 CVE
[+] CERTA-2002-AVI-274 | 0 CVE
[+] CERTA-2002-AVI-275 | 0 CVE
[+] CERTA-2002-AVI-276 | 0 CVE
[+] CERTA-2002-AVI-277 | 0 CVE
[+] CERTA-2002-AVI-278 | 0 CVE
[+] CERTA-2002-AVI-279 | 0 CVE
[+] CERTA-2002-AVI-280 | 0 CVE
[+] CERTA-2002-AVI-281 | 0 CVE
[+] CERTA-2002-AVI-282 | 0 CVE
